time_s,freq_shift_n1_Hz,freq_shift_n3_Hz,freq_shift_n5_Hz,freq_shift_n7_Hz,time_min
0,0.13810540153258005,-0.3668782147204233,-0.5298676756138136,0.969620686660518,0.0
1,-0.07248588179038867,-0.4612102350811036,0.7784720688479764,-0.8894094984205045,0.016666666666666666
2,0.10711556391784656,-0.6798565019250941,-0.12264025913716527,-0.34326107180825355,0.03333333333333333
3,-0.22915513840606772,0.2842148048742546,0.568048303444549,0.9727368678108265,0.05
4,-0.17364135521763954,-0.2695889204048687,0.24570755841415523,-0.33274425337789026,0.06666666666666667
5,-0.019127028859982124,-0.5813171801384,0.17501902276233489,-0.27187813874785427,0.08333333333333333
6,0.12060739467785417,0.08693493446540014,0.253747532736885,-0.2824995471832912,0.1
7,0.03911045723212146,0.4942323180938168,0.19593514179683558,-0.3474462448773162,0.11666666666666667
8,0.14825897945398628,-0.4451259541583839,0.5802007335583492,-0.17238990070132346,0.13333333333333333
9,-0.2900430924100259,0.7687030925234715,0.9765131214608245,1.0489621195747643,0.15
10,0.4225980966140201,-0.6488963715155073,0.6300696213068993,0.5148485345056634,0.16666666666666666
11,0.5108763087947465,0.17375778924106944,0.2688273215534932,0.8425777104409887,0.18333333333333332
12,-0.1372776220017227,0.38632557426696534,-0.021523670584290687,0.04822783123837824,0.2
13,0.02141659635099488,-0.3449275108244558,-0.21263737147771972,1.1885278673194886,0.21666666666666667
14,0.19202562773447393,0.4662810321234774,0.9341646278640606,0.6216849397527884,0.23333333333333334
15,-0.3660835528680847,0.7694796650693206,1.4019151839454251,0.47174270676101204,0.25
16,0.3421137225183653,0.16042764800045559,0.6205704086309775,-0.03698506061142626,0.26666666666666666
17,-0.11148748792106804,0.375088203326583,-0.2600631374924503,-0.09912904726587332,0.2833333333333333
18,-0.18410127256610911,0.3029792452537935,0.23111874471472219,1.662047511667912,0.3
19,0.08232855935339045,-0.8711878422919829,-0.29233940044399803,0.23205799363905097,0.31666666666666665
20,0.2438461391731886,-0.13637043930771095,-0.7537282897567472,1.3783454499497176,0.3333333333333333
21,0.22204167077194506,0.4759074160844323,-0.6095608338527103,0.9149251764677792,0.35
22,0.15647104289793298,0.06203677420037746,-0.5205903954679114,-0.02112112187241805,0.36666666666666664
23,-0.12037729342421286,-0.06991467520278653,-1.5371579299176865,-0.5219985575359697,0.38333333333333336
24,-0.05031931181099261,0.4186095610528218,-0.3211697406066186,0.31794826165622864,0.4
25,0.10905687428269707,-0.2181279648545977,0.550040661786378,-0.7999516316303731,0.4166666666666667
